model	omega	E_kin	E_pot	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	GS_consistency	iterations	dist_function	distance	diff_hybrid	omegaH	script	time	
2L_4b_gen	0.49241003	-1.0233592	-0.8066739	4	0.36486427	-0.18482331	0.35809954	-0.18455164	1	1	0.34964094	0.31757483	0.34892926	0.31665837	0.85243905	-1.0233592	nan	nan	nan	nan	nan	0.88046346	-0.6070889	nan	nan	nan	nan	-4.146225	R0:N6:S0:1	0.88046346	20a4d9d	v2.1.5	Y	17	sharp_wc_2.0_b_25	 4.04e-02	 2.46e-02	 0.49241003	general_bath_1D.py	2023-07-26@10:34
2L_4b_gen	0.5067386	-1.0176744	-0.24928001	4	0.38843159	-0.20778129	0.38803619	-0.20479559	1.1	1	0.33574129	0.32211288	0.33519561	0.3216382	0.86557481	-1.0176744	nan	nan	nan	nan	nan	0.93239996	-0.63920227	nan	nan	nan	nan	-4.3310387	R0:N6:S0:1	0.93239996	20a4d9d	v2.1.5	Y	25	sharp_wc_2.0_b_25	 3.83e-02	 2.73e-02	 0.50673860	general_bath_1D.py	2023-07-26@10:44
2L_4b_gen	0.53160284	-0.99190017	-1.4345724	4	0.42200838	-0.22040785	0.42316944	-0.21977556	1.2	1	0.32066098	0.32488834	0.32067008	0.32488684	0.9012085	-0.99190017	nan	nan	nan	nan	nan	0.92726734	-0.62065942	nan	nan	nan	nan	-4.5788368	R0:N6:S0:1	0.92726734	20a4d9d	v2.1.5	Y	25	sharp_wc_2.0_b_25	 3.69e-02	 9.37e-03	 0.53160284	general_bath_1D.py	2023-07-26@10:55
2L_4b_gen	0.80885436	-0.99295361	0.82321722	4	0.99936457	-0.36548398	0.99837624	-0.36543936	1.3	1	0.34593243	0.38036857	0.34586274	0.38031156	0.921195	-0.99295361	nan	nan	nan	nan	nan	0.97927979	-0.68476396	nan	nan	nan	nan	-5.3114605	R0:N6:S0:1	0.97927979	20a4d9d	v2.1.5	Y	27	sharp_wc_2.0_b_25	 1.83e-02	 1.28e-02	 0.80885436	general_bath_1D.py	2023-07-26@11:06
2L_4b_gen	0.9243826	-0.9651495	2.2795786	4	1.2022596	-0.42074029	1.202238	-0.42066955	1.4	1	0.36082102	0.39191672	0.36080344	0.39190493	0.99863068	-0.9651495	nan	nan	nan	nan	nan	0.99180759	-0.6713	nan	nan	nan	nan	-5.7209277	R0:N6:S0:1	0.99180759	20a4d9d	v2.1.5	Y	16	sharp_wc_2.0_b_25	 1.55e-02	 8.42e-03	 0.92438260	general_bath_1D.py	2023-07-26@11:12
2L_4b_gen	1.2357438	-1.0038328	2.4632528	4	1.4024649	-0.57045804	1.4023986	-0.57048237	1.5	1	0.39503424	0.40881756	0.39502177	0.40881895	1.0017429	-1.0038328	nan	nan	nan	nan	nan	0.99934874	-0.70855143	nan	nan	nan	nan	-6.5557786	R0:N6:S0:1	0.99934874	20a4d9d	v2.1.5	Y	22	sharp_wc_2.0_b_25	 6.13e-03	 7.62e-03	 1.2357438	general_bath_1D.py	2023-07-26@11:21
2L_4b_gen	1.4940613	-0.95373685	1.2432628	4	1.4153547	-0.69470678	1.4154165	-0.69471688	1.6	1	0.41405303	0.41724334	0.41405913	0.41724688	0.99875773	-0.95373685	nan	nan	nan	nan	nan	0.9978022	-0.66313227	nan	nan	nan	nan	-7.2634948	R0:N6:S0:1	0.9978022	20a4d9d	v2.1.5	Y	29	sharp_wc_2.0_b_25	 1.67e-03	 3.47e-03	 1.4940613	general_bath_1D.py	2023-07-26@11:33
2L_4b_gen	1.6113935	-0.99454245	0.81443722	4	1.3507583	-0.75072219	1.3507922	-0.75076141	1.7	1	0.41666804	0.42290969	0.41667764	0.42291545	1.0042072	-0.99454245	nan	nan	nan	nan	nan	1.0034709	-0.69648947	nan	nan	nan	nan	-7.6860109	R0:N6:S0:1	1.0034709	20a4d9d	v2.1.5	Y	28	sharp_wc_2.0_b_25	 3.31e-03	 6.67e-03	 1.6113935	general_bath_1D.py	2023-07-26@11:44
2L_4b_gen	1.9858304	-0.96268674	1.2072996	4	1.3389666	-0.93690139	1.3389431	-0.93687972	1.8	1	0.42973817	0.42798028	0.42973078	0.42797698	0.99893745	-0.96268674	nan	nan	nan	nan	nan	0.99886365	-0.6719127	nan	nan	nan	nan	-8.653206	R0:N6:S0:1	0.99886365	20a4d9d	v2.1.5	Y	21	sharp_wc_2.0_b_25	 9.60e-04	 4.32e-03	 1.9858304	general_bath_1D.py	2023-07-26@11:53
2L_4b_gen	2.1953612	-0.98681329	0.70325072	4	1.2333686	-1.0389955	1.2333699	-1.0390605	1.9	1	0.43422612	0.43223492	0.43422644	0.4322422	0.9976387	-0.98681329	nan	nan	nan	nan	nan	0.99753702	-0.6897384	nan	nan	nan	nan	-9.2680011	R0:N6:S0:1	0.99753702	20a4d9d	v2.1.5	Y	21	sharp_wc_2.0_b_25	 1.16e-03	 7.67e-03	 2.1953612	general_bath_1D.py	2023-07-26@12:02
