model	omega	E_kin	E_pot	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	GS_consistency	iterations	dist_function	distance	diff_hybrid	omegaH	script	time	
2L_4b_gen	-1.5837162	-1.008911	0.29992079	4	0.35535461	-0.19904779	0.34811633	-0.19842657	1	1	0.32796744	0.329039	0.32701733	0.32823644	0.8611291	-1.008911	0.078708347	0.44637988	1.896911	0.04841419	1.8223796	0.89295767	-0.60238934	-1.8557361	-0.52715983	-0.2606853	-1.2019707	-4.1865911	R0:N6:S0:1	0.89295767	20a4d9d	v2.1.5	Y	15	sharp_wc_2.0_b_25	 3.95e-02	 0.00e+00	-1.5837162	general_bath_1D.py	2023-07-27@09:42
2L_4b_gen	-1.5923512	-1.0082518	0.30144752	4	0.35820283	-0.20076148	0.35114649	-0.1997076	1.01	1	0.326626	0.32982157	0.32560678	0.32900194	0.86303389	-1.0082518	0.079165317	0.43938206	1.8985483	0.04719044	1.8242397	0.89531975	-0.60387765	-1.8448594	-0.51997901	-0.25776206	-1.1995017	-4.2071367	R0:N6:S0:1	0.89531975	20a4d9d	v2.1.5	Y	15	sharp_wc_2.0_b_25	 3.94e-02	 1.50e-10	-1.5923512	general_bath_1D.py	2023-07-27@09:42
2L_4b_gen	-1.6010057	-1.007568	0.30297803	4	0.36135352	-0.20249627	0.35462705	-0.201065	1.02	1	0.32530991	0.33059664	0.32424772	0.32977911	0.8649753	-1.007568	0.079627294	0.43215527	1.9002997	0.045934169	1.8261906	0.89771016	-0.60540616	-1.8336465	-0.51247192	-0.25472161	-1.1968325	-4.2278671	R0:N6:S0:1	0.89771016	20a4d9d	v2.1.5	Y	15	sharp_wc_2.0_b_25	 3.93e-02	 2.93e-10	-1.6010057	general_bath_1D.py	2023-07-27@09:42
2L_4b_gen	-1.6096798	-1.0068525	0.30450905	4	0.36481533	-0.20426524	0.35859853	-0.2025008	1.03	1	0.32402322	0.33136975	0.32295241	0.33056895	0.86693717	-1.0068525	0.08009407	0.42471164	1.9021611	0.044650569	1.8282234	0.90012662	-0.60697106	-1.822096	-0.50465426	-0.25157637	-1.1939761	-4.2488268	R0:N6:S0:1	0.90012662	20a4d9d	v2.1.5	Y	15	sharp_wc_2.0_b_25	 3.92e-02	 5.73e-10	-1.6096798	general_bath_1D.py	2023-07-27@09:43
2L_4b_gen	-1.6183735	-1.0060934	0.30604593	4	0.36870168	-0.20604915	0.36310909	-0.20403153	1.04	1	0.32277987	0.33213724	0.32172444	0.33137298	0.86891002	-1.0060934	0.08056774	0.41698124	1.9041612	0.043335605	1.8303592	0.9025814	-0.60858769	-1.8101259	-0.4964341	-0.248308	-1.1908713	-4.2699931	R0:N6:S0:1	0.9025814	20a4d9d	v2.1.5	Y	15	sharp_wc_2.0_b_25	 3.91e-02	 0.00e+00	-1.6183735	general_bath_1D.py	2023-07-27@09:43
2L_4b_gen	-1.6270868	-1.0052803	0.30758845	4	0.37297038	-0.20787573	0.36813393	-0.20567037	1.05	1	0.32156228	0.33290366	0.32055771	0.3321929	0.87085968	-1.0052803	0.081047068	0.40899894	1.90628	0.041997441	1.832584	0.90506978	-0.61024939	-1.7977315	-0.48786603	-0.24493376	-1.1875338	-4.291442	R0:N6:S0:1	0.90506978	20a4d9d	v2.1.5	Y	15	sharp_wc_2.0_b_25	 3.89e-02	 0.00e+00	-1.6270868	general_bath_1D.py	2023-07-27@09:43
2L_4b_gen	-1.6358199	-1.0044276	0.30913434	4	0.37773757	-0.20974303	0.37377829	-0.20741379	1.06	1	0.32039404	0.33367382	0.31946658	0.33302605	0.87284203	-1.0044276	0.081533519	0.40071439	1.9085413	0.040633602	1.8349118	0.90759947	-0.61196603	-1.7848521	-0.4788792	-0.24144219	-1.1839226	-4.3131664	R0:N6:S0:1	0.90759947	20a4d9d	v2.1.5	Y	15	sharp_wc_2.0_b_25	 3.88e-02	 0.00e+00	-1.6358199	general_bath_1D.py	2023-07-27@09:43
2L_4b_gen	-1.644573	-1.0035186	0.31068743	4	0.38309069	-0.21165099	0.38007342	-0.20927992	1.07	1	0.31928307	0.33444896	0.31845654	0.33387651	0.87482512	-1.0035186	0.082028462	0.39209233	1.9109574	0.039246946	1.8373479	0.91017773	-0.61374494	-1.7714208	-0.46942921	-0.23783488	-1.1800068	-4.3351963	R0:N6:S0:1	0.91017773	20a4d9d	v2.1.5	Y	15	sharp_wc_2.0_b_25	 3.86e-02	 0.00e+00	-1.6445730	general_bath_1D.py	2023-07-27@09:43
2L_4b_gen	-1.6533462	-1.0025553	0.31223702	4	0.38906791	-0.21362859	0.38701804	-0.21128231	1.08	1	0.3182291	0.33523661	0.31752247	0.33474818	0.8768174	-1.0025553	0.082532068	0.3831346	1.913525	0.037843583	1.8398863	0.91280527	-0.61558596	-1.7574021	-0.45952131	-0.23412249	-1.1757833	-4.3576176	R0:N6:S0:1	0.91280527	20a4d9d	v2.1.5	Y	15	sharp_wc_2.0_b_25	 3.83e-02	 0.00e+00	-1.6533462	general_bath_1D.py	2023-07-27@09:43
2L_4b_gen	-1.6621397	-1.001539	0.31379854	4	0.39572828	-0.21569058	0.39468653	-0.21341887	1.09	1	0.31724121	0.33603965	0.3166701	0.33563875	0.87882976	-1.001539	0.083044259	0.37383888	1.9162434	0.036426299	1.8425262	0.9154826	-0.61748985	-1.7427572	-0.44915191	-0.23030802	-1.1712414	-4.3804605	R0:N6:S0:1	0.9154826	20a4d9d	v2.1.5	Y	15	sharp_wc_2.0_b_25	 3.81e-02	 0.00e+00	-1.6621397	general_bath_1D.py	2023-07-27@09:43
2L_4b_gen	-1.6709538	-1.0004572	0.31536441	4	0.40322606	-0.21784414	0.40318343	-0.21571571	1.1	1	0.31634005	0.33686404	0.31591492	0.33655658	0.88083873	-1.0004572	0.083567161	0.36415664	1.9191309	0.034994296	1.845279	0.91821959	-0.61946646	-1.7273938	-0.43825667	-0.22638518	-1.1663442	-4.4037953	R0:N6:S0:1	0.91821959	20a4d9d	v2.1.5	Y	15	sharp_wc_2.0_b_25	 3.78e-02	 0.00e+00	-1.6709538	general_bath_1D.py	2023-07-27@09:43
2L_4b_gen	-1.6797888	-0.99931282	0.31693328	4	0.41167826	-0.22010559	0.41256553	-0.21816025	1.11	1	0.31554081	0.33771495	0.31525978	0.33749738	0.88287046	-0.99931282	0.084101408	0.3540732	1.92219	0.033554142	1.8481424	0.92102013	-0.6215193	-1.7112426	-0.42681633	-0.22236532	-1.1610705	-4.4276307	R0:N6:S0:1	0.92102013	20a4d9d	v2.1.5	Y	15	sharp_wc_2.0_b_25	 3.75e-02	 0.00e+00	-1.6797888	general_bath_1D.py	2023-07-27@09:43
2L_4b_gen	-1.6886449	-0.99810798	0.31851064	4	0.42109285	-0.22250813	0.42289321	-0.22078087	1.12	1	0.31483999	0.33859593	0.31470824	0.33846996	0.88491775	-0.99810798	0.084645829	0.34364103	1.9253932	0.032111392	1.8511006	0.92387687	-0.62363863	-1.6943007	-0.41490381	-0.21826272	-1.1554563	-4.4521083	R0:N6:S0:1	0.92387687	20a4d9d	v2.1.5	Y	15	sharp_wc_2.0_b_25	 3.71e-02	 0.00e+00	-1.6886449	general_bath_1D.py	2023-07-27@09:43
2L_4b_gen	-1.6975226	-0.9968373	0.32009759	4	0.43164828	-0.22506678	0.43426974	-0.22358349	1.13	1	0.31426054	0.33951691	0.31427072	0.33947639	0.8869792	-0.9968373	0.085201822	0.33283642	1.9287448	0.030669685	1.8541565	0.92679628	-0.62583035	-1.6764768	-0.40249023	-0.21408272	-1.1494756	-4.4772762	R0:N6:S0:1	0.92679628	20a4d9d	v2.1.5	Y	15	sharp_wc_2.0_b_25	 3.67e-02	 2.48e-09	-1.6975226	general_bath_1D.py	2023-07-27@09:43
2L_4b_gen	-1.7064221	-0.99550395	0.32169555	4	0.44345248	-0.22780455	0.44679999	-0.22657848	1.14	1	0.31381953	0.34048206	0.31396014	0.34052047	0.88905941	-0.99550395	0.085769176	0.32168951	1.9322272	0.029235404	1.857298	0.92977493	-0.62808927	-1.6577408	-0.38961511	-0.20984189	-1.1431486	-4.5032254	R0:N6:S0:1	0.92977493	20a4d9d	v2.1.5	Y	15	sharp_wc_2.0_b_25	 3.63e-02	 1.05e-08	-1.7064221	general_bath_1D.py	2023-07-27@09:43
2L_4b_gen	-1.7153442	-0.99410471	0.32330793	4	0.4567032	-0.23074758	0.46064504	-0.22979014	1.15	1	0.31354311	0.34150112	0.31379473	0.34161127	0.89115434	-0.99410471	0.086348993	0.31020029	1.9358337	0.027811033	1.8605234	0.93281578	-0.63041678	-1.6380171	-0.37628027	-0.20554562	-1.136473	-4.5300765	R0:N6:S0:1	0.93281578	20a4d9d	v2.1.5	Y	15	sharp_wc_2.0_b_25	 3.58e-02	 0.00e+00	-1.7153442	general_bath_1D.py	2023-07-27@09:43
2L_4b_gen	-1.7242889	-0.99264554	0.32494234	4	0.471329	-0.23392327	0.4757856	-0.23322892	1.16	1	0.31341259	0.34257833	0.31376641	0.34275142	0.89323885	-0.99264554	0.086937752	0.29850292	1.9394985	0.026411014	1.8637911	0.93589826	-0.63278796	-1.6173878	-0.36267483	-0.2012369	-1.1295452	-4.5579314	R0:N6:S0:1	0.93589826	20a4d9d	v2.1.5	Y	15	sharp_wc_2.0_b_25	 3.53e-02	 0.00e+00	-1.7242889	general_bath_1D.py	2023-07-27@09:43
2L_4b_gen	-1.7332568	-0.9911618	0.32660162	4	0.48753251	-0.23736061	0.49233081	-0.23692174	1.17	1	0.31345724	0.34372036	0.31388835	0.34394964	0.89543908	-0.9911618	0.087536213	0.28661472	1.943209	0.025040362	1.8670924	0.93902178	-0.63520099	-1.5958103	-0.34882138	-0.19693021	-1.1223808	-4.586929	R0:N6:S0:1	0.93902178	20a4d9d	v2.1.5	Y	15	sharp_wc_2.0_b_25	 3.47e-02	 0.00e+00	-1.7332568	general_bath_1D.py	2023-07-27@09:43
2L_4b_gen	-1.7422482	-0.98964553	0.32830007	4	0.50533436	-0.24107842	0.51033657	-0.24088281	1.18	1	0.31368093	0.34493467	0.3141637	0.34520882	0.897681	-0.98964553	0.088141698	0.27464636	1.9469135	0.023708298	1.8703955	0.94216816	-0.63763565	-1.5733696	-0.33487301	-0.19265616	-1.1150649	-4.6171732	R0:N6:S0:1	0.94216816	20a4d9d	v2.1.5	Y	15	sharp_wc_2.0_b_25	 3.41e-02	 0.00e+00	-1.7422482	general_bath_1D.py	2023-07-27@09:43
2L_4b_gen	-1.7512638	-0.98810012	0.33002611	4	0.52482269	-0.24510191	0.52991604	-0.24511362	1.19	1	0.31408873	0.34622832	0.31461119	0.34653104	0.89995435	-0.98810012	0.088752806	0.26267059	1.9505763	0.022422311	1.8736764	0.94532723	-0.64007745	-1.5501055	-0.32093368	-0.18844368	-1.1076597	-4.6487393	R0:N6:S0:1	0.94532723	20a4d9d	v2.1.5	Y	15	sharp_wc_2.0_b_25	 3.34e-02	 0.00e+00	-1.7512638	general_bath_1D.py	2023-07-27@09:43
2L_4b_gen	-1.7603038	-0.98654352	0.33179971	4	0.5460698	-0.24943716	0.55111488	-0.24964462	1.2	1	0.31469781	0.34759962	0.31523869	0.34792578	0.90228059	-0.98654352	0.089368072	0.25077747	1.9541601	0.021189403	1.8769066	0.94848323	-0.64250959	-1.5261209	-0.30712088	-0.18432002	-1.1002531	-4.6817476	R0:N6:S0:1	0.94848323	20a4d9d	v2.1.5	Y	15	sharp_wc_2.0_b_25	 3.27e-02	 0.00e+00	-1.7603038	general_bath_1D.py	2023-07-27@09:44
2L_4b_gen	-1.7693685	-0.98498112	0.33362412	4	0.569009	-0.25410645	0.57381304	-0.25447434	1.21	1	0.31549852	0.34905329	0.31602287	0.34938685	0.90461736	-0.98498112	0.089983612	0.2390873	1.9576159	0.02001872	1.8800516	0.95161326	-0.64490948	-1.5015807	-0.29359939	-0.18031807	-1.092939	-4.7162635	R0:N6:S0:1	0.95161326	20a4d9d	v2.1.5	Y	15	sharp_wc_2.0_b_25	 3.19e-02	 0.00e+00	-1.7693685	general_bath_1D.py	2023-07-27@09:44
2L_4b_gen	-1.7784583	-0.9834487	0.33551247	4	0.59348813	-0.25910971	0.59806225	-0.25962265	1.22	1	0.31646959	0.35058176	0.31699298	0.35092178	0.90704105	-0.9834487	0.090596208	0.22772397	1.9608983	0.018916837	1.8830725	0.95469421	-0.64724884	-1.4766962	-0.28053471	-0.17647548	-1.08585	-4.7523627	R0:N6:S0:1	0.95469421	20a4d9d	v2.1.5	Y	15	sharp_wc_2.0_b_25	 3.11e-02	 0.00e+00	-1.7784583	general_bath_1D.py	2023-07-27@09:44
2L_4b_gen	-1.7875728	-0.98195799	0.33747411	4	0.61950907	-0.26445578	0.62365669	-0.26506673	1.23	1	0.31762287	0.35218694	0.31810941	0.35251398	0.90955528	-0.98195799	0.091202952	0.21675032	1.963989	0.017887518	1.8859535	0.95770983	-0.64951733	-1.4516168	-0.26800545	-0.17280644	-1.079029	-4.7900334	R0:N6:S0:1	0.95770983	20a4d9d	v2.1.5	Y	15	sharp_wc_2.0_b_25	 3.01e-02	 1.37e-09	-1.7875728	general_bath_1D.py	2023-07-27@09:44
