model	omega	E_kin	E_pot	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	omegaH	script	time	
2L_4b_gen	1.947778	-0.98846362	2.0956864	4	1.3133194	-0.92430337	1.3133423	-0.92433447	1	1	0.42519886	0.42648984	0.42519751	0.42649277	0.8545273	-0.98846362	nan	nan	nan	nan	nan	0.95417136	-0.6931748	nan	nan	nan	nan	-7.0276575	R0:N6:S0:1	0.95417136	20a4d9d	v2.1.5	1.947778	general_bath_1D.py	2023-07-26@10:27
2L_4b_gen	0.5341705	-1.0122126	0.30392968	4	0.34425025	-0.22826326	0.33567561	-0.23152424	1	1	0.27867343	0.34684221	0.27803767	0.34687955	0.85740975	-1.0122126	nan	nan	nan	nan	nan	0.77676563	-0.48716433	nan	nan	nan	nan	-4.2240713	R0:N6:S0:1	0.77676563	20a4d9d	v2.1.5	0.5341705	general_bath_1D.py	2023-07-26@10:28
2L_4b_gen	0.53258796	-1.0248072	-2.3094243	4	0.28510666	-0.20306812	0.28697035	-0.20396961	1	1	0.32673778	0.32493747	0.32710927	0.32525811	0.86794902	-1.0248072	nan	nan	nan	nan	nan	0.88730235	-0.58689903	nan	nan	nan	nan	-4.2267934	R0:N6:S0:1	0.88730235	20a4d9d	v2.1.5	0.53258796	general_bath_1D.py	2023-07-26@10:28
2L_4b_gen	0.54663146	-1.036766	0.31132468	4	0.27828053	-0.20681143	0.28016361	-0.20508808	1	1	0.32922923	0.33263687	0.32906272	0.33276293	0.85610419	-1.036766	nan	nan	nan	nan	nan	0.87046668	-0.59274283	nan	nan	nan	nan	-4.2541954	R0:N6:S0:1	0.87046668	20a4d9d	v2.1.5	0.54663146	general_bath_1D.py	2023-07-26@10:28
2L_4b_gen	0.51759663	-1.0199804	-0.65899349	4	0.32776674	-0.19399809	0.31893502	-0.19332135	1	1	0.34863872	0.31700819	0.34764661	0.31565488	0.86005983	-1.0199804	nan	nan	nan	nan	nan	0.8781986	-0.59782326	nan	nan	nan	nan	-4.1952325	R0:N6:S0:1	0.8781986	20a4d9d	v2.1.5	0.51759663	general_bath_1D.py	2023-07-26@10:29
2L_4b_gen	0.52365913	-1.0074666	0.29820949	4	0.37355321	-0.20355053	0.36858154	-0.20215086	1	1	0.34081322	0.3255314	0.34001193	0.32480076	0.85994549	-1.0074666	nan	nan	nan	nan	nan	0.88706675	-0.59190154	nan	nan	nan	nan	-4.200753	R0:N6:S0:1	0.88706675	20a4d9d	v2.1.5	0.52365913	general_bath_1D.py	2023-07-26@10:29
2L_4b_gen	0.54188345	-1.0156203	-0.081168169	4	0.39172191	-0.20971864	0.39058216	-0.20887756	1	1	0.34679391	0.3314819	0.34651928	0.33124215	0.85427205	-1.0156203	nan	nan	nan	nan	nan	0.88557575	-0.60356165	nan	nan	nan	nan	-4.2414778	R0:N6:S0:1	0.88557575	20a4d9d	v2.1.5	0.54188345	general_bath_1D.py	2023-07-26@10:30
2L_4b_gen	0.53382915	-1.0137071	-1.2838207	4	0.33875549	-0.20671414	0.33498968	-0.20533361	1	1	0.33770019	0.32402971	0.33703855	0.32341073	0.86574486	-1.0137071	nan	nan	nan	nan	nan	0.88984139	-0.59805281	nan	nan	nan	nan	-4.2280159	R0:N6:S0:1	0.88984139	20a4d9d	v2.1.5	0.53382915	general_bath_1D.py	2023-07-26@10:30
2L_4b_gen	0.53219625	-0.99267111	0.29324138	4	0.3786144	-0.2090663	0.37496075	-0.20784647	1	1	0.33126998	0.33716351	0.33059628	0.33666596	0.85100157	-0.99267111	nan	nan	nan	nan	nan	0.88759995	-0.58408886	nan	nan	nan	nan	-4.2266687	R0:N6:S0:1	0.88759995	20a4d9d	v2.1.5	0.53219625	general_bath_1D.py	2023-07-26@10:30
2L_4b_gen	0.4877169	-1.0039971	-1.4975487	4	0.35696008	-0.18467673	0.35416903	-0.18604677	1	1	0.33589673	0.32366027	0.33588094	0.32349882	0.86123459	-1.0039971	nan	nan	nan	nan	nan	0.89173811	-0.58961348	nan	nan	nan	nan	-4.1383116	R0:N6:S0:1	0.89173811	20a4d9d	v2.1.5	0.4877169	general_bath_1D.py	2023-07-26@10:31
