model     	E_kin       	U 	eb1_1     	eb2_1       	eb3_1     	eb4_1       	mu 	t 	tb1_1      	tb2_1      	tb3_1      	tb4_1      	ave_mu     	ave_t       	ave_U_1 	ave_eb1_1 	ave_eb2_1 	ave_eb3_1 	ave_eb4_1 	ave_mu_1   	ave_t_1     	ave_tb1_1 	ave_tb2_1 	ave_tb3_1 	ave_tb4_1 	E0_1       	sector_1   	n_1        	githash 	version 	script             	time             	
2L_4b_gen 	-0.98339666 	4 	1.3133194 	-0.92430337 	1.3133423 	-0.92433447 	2  	1 	0.42519886 	0.42648984 	0.42519751 	0.42649277 	1.0059732  	-0.98339666 	nan     	nan       	nan       	nan       	nan       	1.012864   	-0.68835646 	nan       	nan       	nan       	nan       	-9.0017843 	R0:N6:S0:1 	1.012864   	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-17@10:35 
2L_4b_gen 	-0.95883922 	4 	1.194326  	-1.0844147  	1.1943509 	-1.0844584  	2  	1 	0.43312721 	0.43469812 	0.43313627 	0.4347053  	1.0065972  	-0.95883922 	nan     	nan       	nan       	nan       	nan       	1.0079504  	-0.66688303 	nan       	nan       	nan       	nan       	-9.6550757 	R0:N6:S0:1 	1.0079504  	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-17@10:36 
2L_4b_gen 	-0.98444132 	4 	1.1853176 	-1.1395685  	1.1853761 	-1.1395545  	2  	1 	0.43176174 	0.43535827 	0.43177028 	0.43535541 	0.99931757 	-0.98444132 	nan     	nan       	nan       	nan       	nan       	1.0003297  	-0.69192773 	nan       	nan       	nan       	nan       	-9.8695    	R0:N6:S0:1 	1.0003297  	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-17@10:36 
2L_4b_gen 	-0.98097826 	4 	1.1828834 	-1.156689   	1.1828896 	-1.156639   	2  	1 	0.43703726 	0.43558471 	0.43703893 	0.43557473 	1.0015696  	-0.98097826 	nan     	nan       	nan       	nan       	nan       	1.0012715  	-0.68911961 	nan       	nan       	nan       	nan       	-9.9438106 	R0:N6:S0:1 	1.0012715  	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-17@10:36 
2L_4b_gen 	-0.964292   	4 	1.1891561 	-1.15134    	1.1891874 	-1.151389   	2  	1 	0.43552683 	0.43510714 	0.43553125 	0.43511718 	0.99618079 	-0.964292   	nan     	nan       	nan       	nan       	nan       	0.99713448 	-0.67406707 	nan       	nan       	nan       	nan       	-9.9176499 	R0:N6:S0:1 	0.99713448 	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-17@10:37 
2L_4b_gen 	-0.98410168 	4 	1.1790439 	-1.152406   	1.179155  	-1.1524583  	2  	1 	0.4365202  	0.43115742 	0.43653966 	0.43116809 	0.99872379 	-0.98410168 	nan     	nan       	nan       	nan       	nan       	0.99898887 	-0.69087263 	nan       	nan       	nan       	nan       	-9.9191063 	R0:N6:S0:1 	0.99898887 	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-17@10:37 
2L_4b_gen 	-0.97901709 	4 	1.1398125 	-1.1512182  	1.1397957 	-1.1511426  	2  	1 	0.4335616  	0.43389293 	0.43355404 	0.43388156 	0.99738995 	-0.97901709 	nan     	nan       	nan       	nan       	nan       	0.99720224 	-0.68293888 	nan       	nan       	nan       	nan       	-9.9123821 	R0:N6:S0:1 	0.99720224 	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-17@10:38 
2L_4b_gen 	-0.98629156 	4 	1.0996424 	-1.0768288  	1.0996358 	-1.0768346  	2  	1 	0.42871763 	0.4245806  	0.42872149 	0.4245864  	1.0045827  	-0.98629156 	nan     	nan       	nan       	nan       	nan       	1.0042676  	-0.69061623 	nan       	nan       	nan       	nan       	-9.6178927 	R0:N6:S0:1 	1.0042676  	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-17@10:38 
2L_4b_gen 	-0.96521176 	4 	1.1555154 	-1.1501036  	1.1553874 	-1.1500092  	2  	1 	0.43339501 	0.43674249 	0.43337067 	0.43672494 	0.99526814 	-0.96521176 	nan     	nan       	nan       	nan       	nan       	0.9958658  	-0.67258186 	nan       	nan       	nan       	nan       	-9.9111088 	R0:N6:S0:1 	0.9958658  	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-17@10:38 
2L_4b_gen 	-0.96635891 	4 	1.1725684 	-1.1557389  	1.1725784 	-1.155768   	2  	1 	0.43698766 	0.43222082 	0.43699152 	0.43222356 	1.003058   	-0.96635891 	nan     	nan       	nan       	nan       	nan       	1.0020444  	-0.6746148  	nan       	nan       	nan       	nan       	-9.9333654 	R0:N6:S0:1 	1.0020444  	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-17@10:39 
2L_4b_gen 	-0.9741589  	4 	1.1904989 	-1.1455711  	1.1905218 	-1.1455814  	2  	1 	0.43493997 	0.4348375  	0.43494372 	0.43483979 	0.9993623  	-0.9741589  	nan     	nan       	nan       	nan       	nan       	1.0004705  	-0.68101365 	nan       	nan       	nan       	nan       	-9.8911313 	R0:N6:S0:1 	1.0004705  	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-17@10:39 
